127.0.0.1 - - [10/Jun/2019:11:17:56 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:17:56 +0900] "GET /signin/ HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:18:02 +0900] "GET /signin/ HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:18:02 +0900] "GET /signin/ HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:18:07 +0900] "GET /signin/ HTTP/1.1" 404 1156
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:20 +0900] "GET /signin/ HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:20 +0900] "GET /signin/resources/list.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:39 +0900] "GET /signin/ HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:39 +0900] "GET /signin/resources/list.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:40 +0900] "GET /signin/ HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:40 +0900] "GET /signin/resources/list.css HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:55 +0900] "GET /signin/ HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:19:55 +0900] "GET /signin/resources/list.css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:22:29 +0900] "GET /signin/ HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:22:29 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:24:56 +0900] "GET /signin/ HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:24:56 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:25:35 +0900] "GET /signin/ HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:25:35 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:25:49 +0900] "GET /student/input HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:25:58 +0900] "GET /student/input HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:41:20 +0900] "GET /signin/ HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:41:20 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:07 +0900] "GET /signin/ HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:07 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:09 +0900] "GET /signin/modify?idx=1 HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:10 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:10 +0900] "GET /signin/ HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:10 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:12 +0900] "GET /signin/modify?idx=2 HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:12 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:12 +0900] "GET /signin/ HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:42:12 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:43:05 +0900] "GET /signin/ HTTP/1.1" 200 3966
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:43:05 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:43:06 +0900] "GET /signin/modify?idx=1 HTTP/1.1" 200 952
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:43:06 +0900] "GET /signin/resources/input.css HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:43:23 +0900] "GET /signin/update_data?idx=1&name=%EA%B9%80%EC%9C%A0%EB%A6%BC&id=yurim&password=yurim&address=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EA%B0%95%EC%84%9C%EA%B5%AC&birthday=11%2F11&favoriteColor=green HTTP/1.1" 400 1208
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:47:15 +0900] "GET /signin/update_data?idx=1&name=%EA%B9%80%EC%9C%A0%EB%A6%BC&id=yurim&password=yurim&address=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EA%B0%95%EC%84%9C%EA%B5%AC&birthday=11%2F11&favoriteColor=green HTTP/1.1" 400 1208
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:47:20 +0900] "GET /signin/update_data?idx=1&name=%EA%B9%80%EC%9C%A0%EB%A6%BC&id=yurim&password=yurim&address=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EA%B0%95%EC%84%9C%EA%B5%AC&birthday=11%2F11&favoriteColor=green HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:47:21 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:47:21 +0900] "GET /signin/ HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:47:21 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:29 +0900] "GET /signin/modify?idx=1 HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:29 +0900] "GET /signin/resources/input.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:40 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:40 +0900] "GET /signin/ HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:40 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:41 +0900] "GET /signin/modify?idx=4 HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:41 +0900] "GET /signin/resources/input.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:43 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:43 +0900] "GET /signin/ HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:43 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:46 +0900] "GET /signin/modify?idx=2 HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:46 +0900] "GET /signin/resources/input.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:47 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:47 +0900] "GET /signin/ HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:47 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:48 +0900] "GET /signin/modify?idx=1 HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:49:48 +0900] "GET /signin/resources/input.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:50:05 +0900] "GET /signin/update_data?idx=1&name=%EA%B9%80%EC%9C%A0%EB%A6%BC&id=yurim&password=yurim&address=%EC%84%9C%EC%9A%B8%EC%8B%9C+%EA%B0%95%EC%84%9C%EA%B5%AC&birthday=11%2F111&favoriteColor=green HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:50:06 +0900] "GET /signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:50:06 +0900] "GET /signin/ HTTP/1.1" 200 3972
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:50:06 +0900] "GET /signin/resources/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:51:02 +0900] "GET /signin/modify?idx=1 HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [10/Jun/2019:11:51:02 +0900] "GET /signin/resources/input.css HTTP/1.1" 304 -
